dataset,fpath,label,sublabel,fname
a,set_a/artifact__201012172012.wav,artifact,,artifact__201012172012.wav
a,set_a/artifact__201105040918.wav,artifact,,artifact__201105040918.wav
a,set_a/artifact__201105041959.wav,artifact,,artifact__201105041959.wav
a,set_a/artifact__201105051017.wav,artifact,,artifact__201105051017.wav
a,set_a/artifact__201105060108.wav,artifact,,artifact__201105060108.wav
a,set_a/artifact__201105061143.wav,artifact,,artifact__201105061143.wav
a,set_a/artifact__201105190800.wav,artifact,,artifact__201105190800.wav
a,set_a/artifact__201105280851.wav,artifact,,artifact__201105280851.wav
a,set_a/artifact__201106010559.wav,artifact,,artifact__201106010559.wav
a,set_a/artifact__201106010602.wav,artifact,,artifact__201106010602.wav
a,set_a/artifact__201106021541.wav,artifact,,artifact__201106021541.wav
a,set_a/artifact__201106030612.wav,artifact,,artifact__201106030612.wav
a,set_a/artifact__201106031558.wav,artifact,,artifact__201106031558.wav
a,set_a/artifact__201106040722.wav,artifact,,artifact__201106040722.wav
a,set_a/artifact__201106040933.wav,artifact,,artifact__201106040933.wav
a,set_a/artifact__201106040947.wav,artifact,,artifact__201106040947.wav
a,set_a/artifact__201106041452.wav,artifact,,artifact__201106041452.wav
a,set_a/artifact__201106050353.wav,artifact,,artifact__201106050353.wav
a,set_a/artifact__201106061233.wav,artifact,,artifact__201106061233.wav
a,set_a/artifact__201106070537.wav,artifact,,artifact__201106070537.wav
a,set_a/artifact__201106070949.wav,artifact,,artifact__201106070949.wav
a,set_a/artifact__201106101314.wav,artifact,,artifact__201106101314.wav
a,set_a/artifact__201106101955.wav,artifact,,artifact__201106101955.wav
a,set_a/artifact__201106110909.wav,artifact,,artifact__201106110909.wav
a,set_a/artifact__201106111119.wav,artifact,,artifact__201106111119.wav
a,set_a/artifact__201106121242.wav,artifact,,artifact__201106121242.wav
a,set_a/artifact__201106121445.wav,artifact,,artifact__201106121445.wav
a,set_a/artifact__201106131834.wav,artifact,,artifact__201106131834.wav
a,set_a/artifact__201106131835.wav,artifact,,artifact__201106131835.wav
a,set_a/artifact__201106141701.wav,artifact,,artifact__201106141701.wav
a,set_a/artifact__201106161016.wav,artifact,,artifact__201106161016.wav
a,set_a/artifact__201106161019.wav,artifact,,artifact__201106161019.wav
a,set_a/artifact__201106161219.wav,artifact,,artifact__201106161219.wav
a,set_a/artifact__201106171003.wav,artifact,,artifact__201106171003.wav
a,set_a/artifact__201106190520.wav,artifact,,artifact__201106190520.wav
a,set_a/artifact__201106211041.wav,artifact,,artifact__201106211041.wav
a,set_a/artifact__201106211430.wav,artifact,,artifact__201106211430.wav
a,set_a/artifact__201106212112.wav,artifact,,artifact__201106212112.wav
a,set_a/artifact__201106220340.wav,artifact,,artifact__201106220340.wav
a,set_a/artifact__201106221254.wav,artifact,,artifact__201106221254.wav
a,set_a/extrahls__201101070953.wav,extrahls,,extrahls__201101070953.wav
a,set_a/extrahls__201101091153.wav,extrahls,,extrahls__201101091153.wav
a,set_a/extrahls__201101152255.wav,extrahls,,extrahls__201101152255.wav
a,set_a/extrahls__201101160804.wav,extrahls,,extrahls__201101160804.wav
a,set_a/extrahls__201101160808.wav,extrahls,,extrahls__201101160808.wav
a,set_a/extrahls__201101161027.wav,extrahls,,extrahls__201101161027.wav
a,set_a/extrahls__201101241423.wav,extrahls,,extrahls__201101241423.wav
a,set_a/extrahls__201101241433.wav,extrahls,,extrahls__201101241433.wav
a,set_a/extrahls__201102070251.wav,extrahls,,extrahls__201102070251.wav
a,set_a/extrahls__201102071835.wav,extrahls,,extrahls__201102071835.wav
a,set_a/extrahls__201102241217.wav,extrahls,,extrahls__201102241217.wav
a,set_a/extrahls__201103150114.wav,extrahls,,extrahls__201103150114.wav
a,set_a/extrahls__201103170134.wav,extrahls,,extrahls__201103170134.wav
a,set_a/extrahls__201103182227.wav,extrahls,,extrahls__201103182227.wav
a,set_a/extrahls__201103200218.wav,extrahls,,extrahls__201103200218.wav
a,set_a/extrahls__201104021355.wav,extrahls,,extrahls__201104021355.wav
a,set_a/extrahls__201104140118.wav,extrahls,,extrahls__201104140118.wav
a,set_a/extrahls__201104270458.wav,extrahls,,extrahls__201104270458.wav
a,set_a/extrahls__201104270459.wav,extrahls,,extrahls__201104270459.wav
a,set_a/murmur__201101051104.wav,murmur,,murmur__201101051104.wav
a,set_a/murmur__201101051108.wav,murmur,,murmur__201101051108.wav
a,set_a/murmur__201101051114.wav,murmur,,murmur__201101051114.wav
a,set_a/murmur__201101180902.wav,murmur,,murmur__201101180902.wav
a,set_a/murmur__201102051443.wav,murmur,,murmur__201102051443.wav
a,set_a/murmur__201102052338.wav,murmur,,murmur__201102052338.wav
a,set_a/murmur__201103291548.wav,murmur,,murmur__201103291548.wav
a,set_a/murmur__201104021355.wav,murmur,,murmur__201104021355.wav
a,set_a/murmur__201104241315.wav,murmur,,murmur__201104241315.wav
a,set_a/murmur__201104291843.wav,murmur,,murmur__201104291843.wav
a,set_a/murmur__201106141148.wav,murmur,,murmur__201106141148.wav
a,set_a/murmur__201108222221.wav,murmur,,murmur__201108222221.wav
a,set_a/murmur__201108222223.wav,murmur,,murmur__201108222223.wav
a,set_a/murmur__201108222224.wav,murmur,,murmur__201108222224.wav
a,set_a/murmur__201108222226.wav,murmur,,murmur__201108222226.wav
a,set_a/murmur__201108222227.wav,murmur,,murmur__201108222227.wav
a,set_a/murmur__201108222231.wav,murmur,,murmur__201108222231.wav
a,set_a/murmur__201108222232.wav,murmur,,murmur__201108222232.wav
a,set_a/murmur__201108222233.wav,murmur,,murmur__201108222233.wav
a,set_a/murmur__201108222235.wav,murmur,,murmur__201108222235.wav
a,set_a/murmur__201108222236.wav,murmur,,murmur__201108222236.wav
a,set_a/murmur__201108222237.wav,murmur,,murmur__201108222237.wav
a,set_a/murmur__201108222238.wav,murmur,,murmur__201108222238.wav
a,set_a/murmur__201108222242.wav,murmur,,murmur__201108222242.wav
a,set_a/murmur__201108222243.wav,murmur,,murmur__201108222243.wav
a,set_a/murmur__201108222245.wav,murmur,,murmur__201108222245.wav
a,set_a/murmur__201108222246.wav,murmur,,murmur__201108222246.wav
a,set_a/murmur__201108222248.wav,murmur,,murmur__201108222248.wav
a,set_a/murmur__201108222251.wav,murmur,,murmur__201108222251.wav
a,set_a/murmur__201108222252.wav,murmur,,murmur__201108222252.wav
a,set_a/murmur__201108222253.wav,murmur,,murmur__201108222253.wav
a,set_a/murmur__201108222255.wav,murmur,,murmur__201108222255.wav
a,set_a/murmur__201108222256.wav,murmur,,murmur__201108222256.wav
a,set_a/murmur__201108222258.wav,murmur,,murmur__201108222258.wav
